Date,Open,High,Low,Close,Volume,Ticker,ATR_14,RSI_14,P/E,Market_Cap,MA20,MA200,Sector
2023-01-03,128.614,129.226,122.582,123.471,112117500,AAPL,4.368,27.506,33.09,3172961353728,134.476,149.153,Technology
2023-01-04,125.267,127.015,123.481,124.744,89113600,AAPL,4.258,32.679,33.09,3172961353728,133.476,148.971,Technology
2023-01-05,125.504,126.136,123.165,123.421,80962700,AAPL,4.086,30.104,33.09,3172961353728,132.592,148.776,Technology
2023-01-06,124.399,128.624,123.293,127.962,87754700,AAPL,4.252,46.73,33.09,3172961353728,132.034,148.586,Technology
2023-01-09,128.802,131.704,128.229,128.486,70790800,AAPL,4.184,48.363,33.09,3172961353728,131.417,148.392,Technology
2023-01-10,128.594,129.581,126.482,129.058,63896200,AAPL,4.04,50.287,33.09,3172961353728,130.852,148.182,Technology
2023-01-11,129.572,131.803,128.792,131.783,69458900,AAPL,3.902,58.731,33.09,3172961353728,130.31,147.982,Technology
2023-01-12,132.168,132.543,129.759,131.704,71379600,AAPL,3.753,58.399,33.09,3172961353728,129.714,147.778,Technology
2023-01-13,130.342,133.195,129.976,133.037,57809700,AAPL,3.682,62.521,33.09,3172961353728,129.297,147.564,Technology
2023-01-17,133.106,135.534,132.415,134.202,63646600,AAPL,3.607,65.926,33.09,3172961353728,129.269,147.361,Technology
2023-01-18,135.07,136.837,133.303,133.481,69672800,AAPL,3.597,61.911,33.09,3172961353728,129.304,147.171,Technology
2023-01-19,132.365,134.508,132.059,133.54,58280400,AAPL,3.444,62.13,33.09,3172961353728,129.447,146.982,Technology
2023-01-20,133.55,136.255,132.504,136.107,80223600,AAPL,3.485,70.578,33.09,3172961353728,129.722,146.786,Technology
2023-01-23,136.354,141.487,136.137,139.305,81760300,AAPL,3.738,77.724,33.09,3172961353728,130.002,146.622,Technology
2023-01-24,138.516,141.329,138.506,140.707,66435100,AAPL,3.616,80.16,33.09,3172961353728,130.51,146.481,Technology
2023-01-25,139.088,140.609,137.035,140.046,65799300,AAPL,3.623,75.655,33.09,3172961353728,131.004,146.335,Technology
2023-01-26,141.339,142.405,140.085,142.119,54105100,AAPL,3.455,79.768,33.09,3172961353728,131.691,146.21,Technology
2023-01-27,141.329,145.347,141.25,144.064,70555800,AAPL,3.54,82.895,33.09,3172961353728,132.673,146.116,Technology
2023-01-30,143.106,143.689,141.023,141.171,64015300,AAPL,3.474,65.515,33.09,3172961353728,133.334,145.998,Technology
2023-01-31,140.875,142.494,140.461,142.445,65874500,AAPL,3.282,68.835,33.09,3172961353728,134.043,145.873,Technology
2023-02-01,142.129,144.735,139.513,143.57,77663600,AAPL,3.541,71.62,33.09,3172961353728,135.048,145.779,Technology
2023-02-02,146.996,149.247,146.275,148.891,118339000,AAPL,3.825,80.922,33.09,3172961353728,136.255,145.712,Technology
2023-02-03,146.137,155.367,145.94,152.524,154357300,AAPL,4.572,84.838,33.09,3172961353728,137.71,145.652,Technology
2023-02-06,150.619,151.142,148.852,149.79,69858300,AAPL,4.452,72.004,33.09,3172961353728,138.802,145.579,Technology
2023-02-07,148.714,153.245,148.714,152.672,83322600,AAPL,4.463,76.354,33.09,3172961353728,140.011,145.525,Technology
2023-02-08,151.912,152.603,149.237,149.977,64120100,AAPL,4.326,65.392,33.09,3172961353728,141.057,145.48,Technology
2023-02-09,151.813,152.356,148.496,148.941,56007100,AAPL,4.264,61.475,33.09,3172961353728,141.915,145.424,Technology
2023-02-10,147.774,149.633,147.537,149.307,57450700,AAPL,3.975,62.392,33.09,3172961353728,142.795,145.4,Technology
2023-02-13,149.247,152.52,149.218,152.114,62199000,AAPL,3.885,68.942,33.09,3172961353728,143.749,145.391,Technology
2023-02-14,150.404,152.035,149.158,151.472,61707600,AAPL,3.761,65.91,33.09,3172961353728,144.612,145.345,Technology
2023-02-15,151.383,153.746,151.155,153.578,65573800,AAPL,3.605,70.77,33.09,3172961353728,145.617,145.338,Technology
2023-02-16,151.778,154.566,151.62,151.976,68167900,AAPL,3.517,62.901,33.09,3172961353728,146.539,145.321,Technology
2023-02-17,150.631,151.274,149.148,150.829,59144100,AAPL,3.425,57.609,33.09,3172961353728,147.275,145.292,Technology
2023-02-21,148.506,149.593,146.736,146.805,58867200,AAPL,3.514,42.971,33.09,3172961353728,147.65,145.21,Technology
2023-02-22,147.191,148.258,145.5,147.23,51011300,AAPL,3.414,44.685,33.09,3172961353728,147.976,145.176,Technology
2023-02-23,148.397,148.644,145.579,147.715,48394200,AAPL,3.367,46.787,33.09,3172961353728,148.36,145.141,Technology
2023-02-24,145.451,145.53,144.076,145.055,55469600,AAPL,3.403,37.709,33.09,3172961353728,148.506,145.118,Technology
2023-02-27,146.044,147.487,145.787,146.251,44998500,AAPL,3.274,43.408,33.09,3172961353728,148.616,145.088,Technology
2023-02-28,145.391,147.398,145.174,145.747,50547000,AAPL,3.134,41.559,33.09,3172961353728,148.844,145.096,Technology
2023-03-01,145.174,145.569,143.374,143.671,55479000,AAPL,3.032,34.564,33.09,3172961353728,148.906,145.113,Technology
2023-03-02,142.751,145.055,142.277,144.264,52238100,AAPL,2.999,38.004,33.09,3172961353728,148.94,145.11,Technology
2023-03-03,146.37,149.405,145.668,149.326,70732300,AAPL,3.284,59.149,33.09,3172961353728,148.962,145.141,Technology
2023-03-06,152.055,154.537,151.729,152.095,87558000,AAPL,3.541,66.384,33.09,3172961353728,148.941,145.167,Technology
2023-03-07,151.966,152.292,149.425,149.89,56182000,AAPL,3.451,57.092,33.09,3172961353728,148.946,145.223,Technology
